Stage;Holes;Recipes;;;;Recipe difficult;Recipe factor;Difficult;Time;
0;0;SASHIMI;SASHIMI;SASHIMI;SASHIMI;4;0,25;1;40;4
1;0;SASHIMI;RICE_BOWL;SASHIMI;RICE_BOWL;4;0,5;2;40;4
2;0;NIGUIRI;NIGUIRI;RICE_BOWL;RICE_BOWL;10;0,5;5;60;6
3;5;TOMATO_SOUP;TOMATO_SOUP;TOMATO_SOUP;TOMATO_SOUP;4;0,25;6;120;12
4;5;ONION_SOUP;ONION_SOUP;ONION_SOUP;ONION_SOUP;4;0,25;6;120;12
5;5;MUSHROOM_SOUP;MUSHROOM_SOUP;MUSHROOM_SOUP;MUSHROOM_SOUP;4;0,25;6;120;12
6;2;RICE_BOWL;SALAD;RICE_BOWL;SALAD;10;0,5;7;60;6
7;5;TOMATO_SOUP;ONION_SOUP;MUSHROOM_SOUP;ONION_SOUP;4;0,75;8;120;12
8;5;SALAD;SALAD;SALAD;SALAD;16;0,25;9;80;8
9;5;HOTDOG;HOTDOG;HOTDOG;HOTDOG;16;0,25;9;80;8
10;2;SASHIMI;SUSHI_SALMON;SASHIMI;SUSHI_SALMON;20;0,5;12;80;8
11;4;SUSHI_SALMON;SUSHI_SALMON;SUSHI_SALMON;SUSHI_SALMON;36;0,25;13;120;12
12;5;HOTDOG;SALAD;SALAD;HOTDOG;16;0,5;13;80;8
13;5;HOTDOG;SALAD;HOTDOG;SALAD;16;0,5;13;80;8
14;0;NIGUIRI;SUSHI_SALMON;SUSHI_SALMON;NIGUIRI;26;0,5;13;100;10
15;5;PASTA;PASTA;PASTA;PASTA;36;0,25;14;120;12
16;5;TACO_CHICKEN;TACO_CHICKEN;TACO_CHICKEN;TACO_CHICKEN;36;0,25;14;120;12
17;5;TACO_MUSHROOM;TACO_MUSHROOM;TACO_MUSHROOM;TACO_MUSHROOM;36;0,25;14;120;12
18;5;FRUIT_SALAD;FRUIT_SALAD;FRUIT_SALAD;FRUIT_SALAD;36;0,25;14;120;12
19;5;BANANA_SPLIT;BANANA_SPLIT;BANANA_SPLIT;BANANA_SPLIT;36;0,25;14;120;12
20;5;PETIT_GATAEU;PETIT_GATAEU;PETIT_GATAEU;PETIT_GATAEU;36;0,25;14;120;12
21;5;RICE_BOWL;SUSHI_SALMON;RICE_BOWL;SUSHI_SALMON;20;0,5;15;80;8
22;0;SASHIMI;SASHIMI;PETIT_GATAEU;BANANA_SPLIT;20;0,75;15;80;8
23;5;TOMATO_SOUP;ONION_SOUP;MUSHROOM_SOUP;TACO_CHICKEN;12;1;17;120;12
24;0;POKE;POKE;SASHIMI;SASHIMI;34;0,5;17;100;10
25;8;TOMATO_SOUP;TOMATO_SOUP;TACO_CHICKEN;TACO_CHICKEN;20;0,5;18;120;12
26;5;PASTA;SALAD;PASTA;SALAD;26;0,5;18;100;10
27;0;SUSHI_SALMON;SUSHI_SALMON;SUSHI_CUCUMBER;SUSHI_CUCUMBER;36;0,5;18;120;12
28;0;SASHIMI;NIGUIRI;SUSHI_CUCUMBER;HOTDOG;18;1;18;80;8
29;5;CARROT_CAKE;CARROT_CAKE;CARROT_CAKE;CARROT_CAKE;64;0,25;21;160;16
30;0;SASHIMI;RICE_BOWL;NIGUIRI;POKE;22;1;22;80;8
31;5;TACO_CHICKEN;TACO_MUSHROOM;TACO_CHICKEN;TACO_MUSHROOM;36;0,5;23;120;12
32;5;PETIT_GATAEU;PETIT_GATAEU;FRUIT_SALAD;FRUIT_SALAD;36;0,5;23;120;12
33;0;SASHIMI;SUSHI_SALMON;SUSHI_CUCUMBER;NIGUIRI;23;1;23;90;9
34;5;SALAD;SALAD;POKE;POKE;40;0,5;25;120;12
35;5;TACO_CHICKEN;HOTDOG;MUSHROOM_SOUP;PETIT_GATAEU;23;1;28;110;11
36;5;PIZZA;PASTA;PASTA;PIZZA;50;0,5;30;140;14
37;5;PIZZA;PIZZA;FRUIT_SALAD;FRUIT_SALAD;50;0,5;30;140;14
38;5;FRUIT_CAKE;FRUIT_CAKE;FRUIT_CAKE;FRUIT_CAKE;100;0,25;30;200;20
39;5;CHOCOLATE_CAKE;CHOCOLATE_CAKE;CHOCOLATE_CAKE;CHOCOLATE_CAKE;100;0,25;30;200;20
40;5;PIZZA;MUSHROOM_SOUP;TOMATO_SOUP;PIZZA;34;0,75;30,5;140;14
41;5;TOMATO_SOUP;MUSHROOM_SOUP;ONION_SOUP;FRUIT_CAKE;28;1;33;140;14
42;16;FRUIT_SALAD;FRUIT_SALAD;BANANA_SPLIT;BANANA_SPLIT;36;0,5;34;120;12
43;5;BURGER;SALAD;SALAD;BURGER;58;0,5;34;140;14
44;8;FRUIT_SALAD;BANANA_SPLIT;PETIT_GATAEU;FRUIT_SALAD;36;0,75;35;120;12
45;5;PASTA;PIZZA;RICE_BOWL;PIZZA;42;0,75;36,5;120;12
46;2;POKE;SUSHI_CUCUMBER;POKE;SUSHI_SALMON;50;0,75;39,5;140;14
47;16;BURGER;BURGER;BURGER;BURGER;100;0,25;41;200;20
48;18;BURGER;HOTDOG;BURGER;HOTDOG;58;0,5;47;140;14
49;15;HOTDOG;PIZZA;FRUIT_SALAD;SALAD;33;1;48;110;11
50;15;PASTA;PASTA;CHOCOLATE_CAKE;CHOCOLATE_CAKE;68;0,5;49;160;16
51;12;PIZZA;FRUIT_SALAD;BANANA_SPLIT;PIZZA;50;0,75;49,5;140;14
52;12;POKE;FRUIT_SALAD;PETIT_GATAEU;NIGUIRI;38;1;50;120;12
53;12;SASHIMI;NIGUIRI;SUSHI_SALMON;BURGER;39;1;51;110;11
54;15;TACO_MUSHROOM;TACO_CHICKEN;PIZZA;PASTA;43;1;58;130;13
55;15;PASTA;PETIT_GATAEU;PIZZA;BANANA_SPLIT;43;1;58;130;13
56;15;BURGER;BANANA_SPLIT;HOTDOG;PETIT_GATAEU;47;1;62;130;13
57;15;BURGER;PASTA;PIZZA;HOTDOG;54;1;69;140;14
58;15;PETIT_GATAEU;CARROT_CAKE;CHOCOLATE_CAKE;FRUIT_CAKE;75;1;90;170;17
59;20;BURGER;CARROT_CAKE;CHOCOLATE_CAKE;FRUIT_CAKE;91;1;111;190;19
